freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.660e+02,4.188e+01,1.449e+01,6.224e+02
1.6,4.021e+02,5.199e+01,4.530e+01,4.994e+02
3.2,1.101e+02,3.472e+01,4.736e+01,1.922e+02
4.8,4.748e+02,4.034e+01,5.246e+01,5.676e+02
6.3,1.345e+03,3.694e+01,5.165e+01,1.433e+03
7.9,2.135e+03,3.567e+01,4.695e+01,2.218e+03
9.5,2.998e+03,3.847e+01,4.905e+01,3.086e+03
11.1,3.982e+03,4.029e+01,4.822e+01,4.071e+03
12.7,5.126e+03,3.918e+01,5.180e+01,5.217e+03
14.3,6.457e+03,3.518e+01,5.249e+01,6.544e+03
15.9,7.865e+03,3.498e+01,5.606e+01,7.956e+03
17.4,9.521e+03,3.677e+01,5.816e+01,9.616e+03
19.0,1.128e+04,3.806e+01,5.613e+01,1.137e+04
20.6,1.311e+04,3.743e+01,5.835e+01,1.321e+04
22.2,1.510e+04,3.851e+01,6.083e+01,1.520e+04
23.8,1.745e+04,3.939e+01,5.918e+01,1.755e+04
25.4,1.994e+04,4.704e+01,5.708e+01,2.004e+04
27.0,2.284e+04,8.736e+01,5.984e+01,2.299e+04
28.5,2.459e+04,1.612e+02,6.050e+01,2.481e+04
30.1,2.750e+04,2.202e+02,6.101e+01,2.778e+04
31.7,2.980e+04,2.551e+02,7.547e+01,3.013e+04
33.3,3.088e+04,4.417e+02,1.139e+02,3.143e+04
34.9,3.399e+04,1.207e+03,1.856e+02,3.538e+04
36.5,3.492e+04,1.827e+03,2.520e+02,3.700e+04
38.0,3.298e+04,1.783e+03,2.436e+02,3.501e+04
39.6,3.605e+04,1.783e+03,2.183e+02,3.805e+04
41.2,3.931e+04,1.619e+03,1.980e+02,4.113e+04
42.8,4.262e+04,1.446e+03,1.776e+02,4.424e+04
44.4,4.869e+04,1.730e+03,2.147e+02,5.064e+04
46.0,5.569e+04,1.828e+03,2.441e+02,5.777e+04
47.6,6.184e+04,1.554e+03,2.288e+02,6.362e+04
49.1,6.643e+04,1.073e+03,1.742e+02,6.768e+04
50.7,7.153e+04,7.080e+02,1.242e+02,7.236e+04
52.3,7.336e+04,5.534e+02,1.100e+02,7.402e+04
53.9,6.914e+04,3.852e+02,1.010e+02,6.962e+04
55.5,7.132e+04,3.433e+02,9.610e+01,7.176e+04
57.1,7.794e+04,3.995e+02,9.460e+01,7.844e+04
58.7,8.736e+04,4.554e+02,9.433e+01,8.791e+04
60.2,9.736e+04,4.566e+02,1.018e+02,9.792e+04
61.8,1.082e+05,4.869e+02,1.100e+02,1.088e+05
63.4,1.205e+05,5.440e+02,1.212e+02,1.212e+05
65.0,1.340e+05,5.946e+02,1.438e+02,1.348e+05
66.6,1.484e+05,5.801e+02,1.541e+02,1.492e+05
68.2,1.628e+05,6.323e+02,1.892e+02,1.636e+05
69.8,1.772e+05,8.312e+02,2.589e+02,1.783e+05
71.3,1.823e+05,1.469e+03,4.157e+02,1.842e+05
72.9,1.657e+05,3.689e+03,8.532e+02,1.702e+05
74.5,1.415e+05,6.961e+03,1.265e+03,1.497e+05
76.1,1.427e+05,6.907e+03,9.380e+02,1.505e+05
77.7,1.621e+05,6.050e+03,3.541e+02,1.685e+05
79.3,1.880e+05,7.469e+03,1.409e+02,1.956e+05
80.9,2.162e+05,8.348e+03,1.464e+02,2.247e+05
82.4,2.430e+05,9.038e+03,2.293e+02,2.522e+05
84.0,2.674e+05,1.170e+04,3.025e+02,2.794e+05
85.6,2.987e+05,1.537e+04,6.189e+02,3.147e+05
87.2,3.379e+05,1.920e+04,1.293e+03,3.584e+05
88.8,3.824e+05,2.747e+04,1.350e+03,4.112e+05
90.4,4.278e+05,3.961e+04,6.837e+02,4.681e+05
92.0,4.720e+05,5.046e+04,3.656e+02,5.228e+05
93.5,5.167e+05,5.163e+04,1.483e+03,5.698e+05
95.1,5.730e+05,5.119e+04,6.015e+03,6.302e+05
96.7,6.457e+05,4.491e+04,2.043e+04,7.111e+05
98.3,7.280e+05,3.917e+04,5.662e+04,8.238e+05
99.9,8.223e+05,4.648e+04,8.003e+04,9.488e+05
101.5,9.157e+05,4.334e+04,6.020e+04,1.019e+06
103.1,1.022e+06,3.302e+04,4.359e+04,1.099e+06
104.6,1.147e+06,2.987e+04,3.986e+04,1.217e+06
106.2,1.283e+06,4.064e+04,3.871e+04,1.363e+06
107.8,1.468e+06,6.718e+04,3.375e+04,1.569e+06
109.4,1.702e+06,1.035e+05,2.568e+04,1.831e+06
111.0,1.957e+06,1.315e+05,1.817e+04,2.107e+06
112.6,2.260e+06,1.414e+05,1.389e+04,2.415e+06
114.1,2.627e+06,1.397e+05,1.328e+04,2.780e+06
115.7,3.126e+06,1.339e+05,1.717e+04,3.277e+06
117.3,3.818e+06,1.267e+05,2.629e+04,3.971e+06
118.9,4.653e+06,1.217e+05,3.976e+04,4.814e+06
120.5,4.587e+06,1.011e+05,4.278e+04,4.731e+06
122.1,3.689e+06,7.055e+04,3.529e+04,3.795e+06
123.7,3.475e+06,5.393e+04,3.729e+04,3.566e+06
125.2,3.246e+06,3.846e+04,4.018e+04,3.325e+06
126.8,2.815e+06,2.113e+04,4.238e+04,2.879e+06
128.4,2.195e+06,3.321e+04,4.438e+04,2.273e+06
130.0,1.896e+06,3.117e+05,5.460e+04,2.263e+06
131.6,1.757e+06,6.545e+05,5.494e+04,2.467e+06
133.2,6.976e+05,2.872e+05,2.114e+04,1.006e+06
134.8,5.684e+04,1.516e+04,1.872e+03,7.387e+04
136.3,2.254e+04,9.936e+03,1.237e+03,3.371e+04
137.9,1.918e+04,2.819e+04,1.553e+03,4.892e+04
139.5,1.970e+04,5.580e+04,1.741e+03,7.725e+04
141.1,1.761e+04,6.158e+04,1.233e+03,8.042e+04
142.7,1.179e+04,4.300e+04,5.748e+02,5.536e+04
144.3,7.775e+03,2.773e+04,2.629e+02,3.577e+04
145.9,5.150e+03,1.705e+04,1.682e+02,2.236e+04
147.4,3.799e+03,9.761e+03,1.154e+02,1.368e+04
149.0,4.318e+03,5.738e+03,8.592e+01,1.014e+04
150.6,5.568e+03,6.632e+03,1.100e+02,1.231e+04
152.2,6.687e+03,5.751e+03,1.035e+02,1.254e+04
153.8,9.151e+03,4.148e+03,8.554e+01,1.339e+04
155.4,1.171e+04,4.315e+03,9.364e+01,1.612e+04
157.0,9.577e+03,4.803e+03,1.045e+02,1.448e+04
158.5,8.265e+03,5.687e+03,1.239e+02,1.408e+04
160.1,1.106e+04,6.656e+03,1.782e+02,1.789e+04
161.7,1.344e+04,6.335e+03,2.137e+02,1.999e+04
163.3,1.299e+04,6.149e+03,2.026e+02,1.935e+04
164.9,1.148e+04,7.764e+03,1.728e+02,1.942e+04
166.5,1.258e+04,8.638e+03,1.576e+02,2.137e+04
168.1,1.475e+04,8.653e+03,1.576e+02,2.356e+04
169.6,1.817e+04,9.290e+03,1.617e+02,2.762e+04
171.2,2.338e+04,1.083e+04,1.651e+02,3.438e+04
172.8,2.606e+04,9.534e+03,1.756e+02,3.577e+04
174.4,2.632e+04,5.854e+03,1.911e+02,3.237e+04
176.0,2.856e+04,4.179e+03,1.973e+02,3.294e+04
177.6,2.984e+04,3.511e+03,2.029e+02,3.356e+04
179.2,3.277e+04,3.331e+03,2.093e+02,3.631e+04
180.7,3.716e+04,3.436e+03,2.056e+02,4.080e+04
182.3,4.140e+04,3.641e+03,2.065e+02,4.525e+04
183.9,4.576e+04,3.677e+03,2.195e+02,4.966e+04
185.5,5.162e+04,3.773e+03,2.356e+02,5.563e+04
187.1,6.179e+04,4.112e+03,2.346e+02,6.614e+04
188.7,7.170e+04,4.472e+03,2.464e+02,7.642e+04
190.2,9.878e+04,5.280e+03,2.966e+02,1.044e+05
191.8,1.555e+05,6.659e+03,3.827e+02,1.625e+05
193.4,2.180e+05,7.667e+03,4.728e+02,2.262e+05
195.0,3.153e+05,8.844e+03,5.780e+02,3.248e+05
196.6,3.919e+05,9.754e+03,6.242e+02,4.023e+05
198.2,4.803e+05,1.041e+04,6.814e+02,4.914e+05
199.8,5.766e+05,1.141e+04,7.549e+02,5.888e+05
