freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.148e+02,2.855e+03,4.088e+01,3.010e+03
1.6,4.279e+02,2.939e+03,6.203e+01,3.429e+03
3.2,5.135e+02,1.412e+03,6.112e+01,1.986e+03
4.8,5.293e+02,1.809e+03,6.364e+01,2.402e+03
6.3,4.297e+02,3.055e+03,6.238e+01,3.547e+03
7.9,3.295e+02,3.798e+03,5.346e+01,4.181e+03
9.5,3.333e+02,4.686e+03,5.477e+01,5.075e+03
11.1,4.147e+02,5.756e+03,5.774e+01,6.228e+03
12.7,4.739e+02,6.938e+03,6.481e+01,7.477e+03
14.3,3.607e+02,8.304e+03,6.769e+01,8.733e+03
15.9,3.777e+02,1.016e+04,7.046e+01,1.061e+04
17.4,4.414e+02,1.219e+04,7.531e+01,1.270e+04
19.0,4.914e+02,1.463e+04,8.686e+01,1.521e+04
20.6,4.374e+02,1.706e+04,9.366e+01,1.759e+04
22.2,3.352e+02,2.031e+04,1.013e+02,2.075e+04
23.8,3.577e+02,2.379e+04,1.254e+02,2.428e+04
25.4,3.819e+02,2.255e+04,1.321e+02,2.306e+04
27.0,5.479e+02,2.107e+04,1.167e+02,2.174e+04
28.5,8.006e+02,2.255e+04,1.364e+02,2.348e+04
30.1,9.997e+02,2.509e+04,1.938e+02,2.628e+04
31.7,1.010e+03,2.722e+04,2.796e+02,2.851e+04
33.3,6.423e+02,2.860e+04,4.438e+02,2.969e+04
34.9,4.465e+02,3.707e+04,5.677e+02,3.809e+04
36.5,4.360e+02,4.926e+04,4.943e+02,5.019e+04
38.1,4.055e+02,5.531e+04,3.956e+02,5.612e+04
39.6,4.637e+02,5.712e+04,4.062e+02,5.799e+04
41.2,6.873e+02,5.825e+04,5.033e+02,5.944e+04
42.8,7.878e+02,6.907e+04,6.480e+02,7.050e+04
44.4,8.820e+02,9.469e+04,7.501e+02,9.632e+04
46.0,1.151e+03,1.238e+05,7.077e+02,1.257e+05
47.6,1.455e+03,1.550e+05,6.652e+02,1.571e+05
49.1,1.846e+03,1.875e+05,5.845e+02,1.900e+05
50.7,2.196e+03,2.148e+05,4.764e+02,2.175e+05
52.3,2.217e+03,2.194e+05,4.219e+02,2.221e+05
53.9,1.936e+03,2.021e+05,3.845e+02,2.044e+05
55.5,1.970e+03,2.217e+05,4.034e+02,2.241e+05
57.1,2.720e+03,2.656e+05,4.919e+02,2.688e+05
58.7,3.736e+03,3.159e+05,7.339e+02,3.204e+05
60.2,4.394e+03,3.635e+05,1.514e+03,3.694e+05
61.8,5.270e+03,4.241e+05,3.142e+03,4.325e+05
63.4,6.552e+03,4.908e+05,6.484e+03,5.038e+05
65.0,7.867e+03,5.781e+05,1.610e+04,6.020e+05
66.6,1.025e+04,9.046e+05,3.704e+04,9.518e+05
68.2,1.491e+04,1.605e+06,6.748e+04,1.688e+06
69.8,2.352e+04,2.827e+06,1.047e+05,2.955e+06
71.3,3.808e+04,4.896e+06,1.448e+05,5.079e+06
72.9,5.958e+04,7.987e+06,1.786e+05,8.225e+06
74.5,9.551e+04,1.158e+07,1.904e+05,1.187e+07
76.1,1.656e+05,1.681e+07,1.972e+05,1.718e+07
77.7,2.267e+05,2.068e+07,1.867e+05,2.109e+07
79.3,2.064e+05,1.803e+07,1.433e+05,1.838e+07
80.9,1.475e+05,1.273e+07,9.635e+04,1.298e+07
82.4,1.121e+05,9.245e+06,6.461e+04,9.421e+06
84.0,9.363e+04,7.517e+06,4.434e+04,7.655e+06
85.6,7.734e+04,6.096e+06,3.219e+04,6.205e+06
87.2,6.280e+04,5.048e+06,2.864e+04,5.140e+06
88.8,5.221e+04,4.197e+06,2.730e+04,4.276e+06
90.4,4.409e+04,3.658e+06,2.230e+04,3.725e+06
92.0,3.737e+04,3.398e+06,1.977e+04,3.455e+06
93.5,3.120e+04,3.274e+06,2.157e+04,3.327e+06
95.1,2.718e+04,3.160e+06,2.676e+04,3.214e+06
96.7,2.476e+04,2.939e+06,4.524e+04,3.009e+06
98.3,2.091e+04,2.575e+06,9.779e+04,2.693e+06
99.9,1.686e+04,2.163e+06,1.313e+05,2.311e+06
101.5,1.446e+04,1.776e+06,1.036e+05,1.894e+06
103.1,1.218e+04,1.419e+06,7.410e+04,1.506e+06
104.6,9.629e+03,1.084e+06,5.694e+04,1.150e+06
106.2,7.336e+03,8.100e+05,4.671e+04,8.641e+05
107.8,5.454e+03,5.897e+05,3.943e+04,6.346e+05
109.4,4.083e+03,4.116e+05,3.399e+04,4.497e+05
111.0,3.323e+03,2.775e+05,2.915e+04,3.099e+05
112.6,3.076e+03,1.814e+05,2.524e+04,2.097e+05
114.2,3.258e+03,1.123e+05,2.221e+04,1.378e+05
115.7,3.939e+03,6.429e+04,1.970e+04,8.793e+04
117.3,5.011e+03,3.195e+04,1.742e+04,5.439e+04
118.9,6.304e+03,1.267e+04,1.568e+04,3.465e+04
120.5,7.360e+03,4.390e+03,1.312e+04,2.486e+04
122.1,7.035e+03,3.559e+03,1.020e+04,2.080e+04
123.7,7.270e+03,1.023e+04,9.640e+03,2.714e+04
125.3,7.271e+03,3.496e+04,1.000e+04,5.223e+04
126.8,8.269e+03,1.089e+05,1.175e+04,1.289e+05
128.4,1.045e+04,3.289e+05,1.535e+04,3.547e+05
130.0,1.964e+04,1.126e+06,2.215e+04,1.168e+06
131.6,3.578e+04,2.118e+06,2.554e+04,2.179e+06
133.2,1.954e+04,9.896e+05,1.144e+04,1.021e+06
134.8,6.180e+03,1.052e+05,3.364e+03,1.148e+05
136.3,6.615e+03,9.337e+04,2.780e+03,1.028e+05
137.9,7.464e+03,1.152e+05,2.282e+03,1.249e+05
139.5,9.159e+03,1.303e+05,2.061e+03,1.415e+05
141.1,1.091e+04,1.120e+05,1.465e+03,1.244e+05
142.7,1.292e+04,8.227e+04,8.670e+02,9.606e+04
144.3,1.423e+04,6.353e+04,5.616e+02,7.832e+04
145.9,1.284e+04,5.818e+04,4.672e+02,7.149e+04
147.4,9.786e+03,5.584e+04,3.015e+02,6.592e+04
149.0,1.137e+04,5.108e+04,1.744e+02,6.262e+04
150.6,1.390e+04,4.588e+04,1.706e+02,5.996e+04
152.2,1.374e+04,4.301e+04,2.320e+02,5.698e+04
153.8,1.169e+04,4.642e+04,3.840e+02,5.849e+04
155.4,2.273e+04,4.431e+04,7.339e+02,6.777e+04
157.0,5.074e+04,3.456e+04,1.092e+03,8.639e+04
158.5,7.130e+04,3.895e+04,1.292e+03,1.115e+05
160.1,7.400e+04,6.523e+04,1.086e+03,1.403e+05
161.7,5.284e+04,7.734e+04,6.860e+02,1.309e+05
163.3,3.736e+04,8.334e+04,4.868e+02,1.212e+05
164.9,2.818e+04,8.182e+04,3.301e+02,1.103e+05
166.5,2.591e+04,7.520e+04,2.655e+02,1.014e+05
168.1,2.702e+04,7.003e+04,2.354e+02,9.728e+04
169.6,2.468e+04,6.714e+04,1.852e+02,9.200e+04
171.2,2.343e+04,6.685e+04,1.573e+02,9.044e+04
172.8,2.965e+04,6.672e+04,2.014e+02,9.657e+04
174.4,3.205e+04,6.871e+04,2.669e+02,1.010e+05
176.0,3.698e+04,7.044e+04,2.954e+02,1.077e+05
177.6,3.676e+04,6.720e+04,2.547e+02,1.042e+05
179.2,3.754e+04,6.631e+04,2.461e+02,1.041e+05
180.7,3.877e+04,6.672e+04,2.463e+02,1.057e+05
182.3,4.211e+04,6.735e+04,2.471e+02,1.097e+05
183.9,4.081e+04,6.842e+04,2.213e+02,1.095e+05
185.5,4.177e+04,6.809e+04,2.248e+02,1.101e+05
187.1,4.369e+04,6.842e+04,2.420e+02,1.124e+05
188.7,4.603e+04,7.006e+04,2.475e+02,1.163e+05
190.3,5.228e+04,7.315e+04,2.536e+02,1.257e+05
191.8,5.995e+04,7.679e+04,2.750e+02,1.370e+05
193.4,6.769e+04,7.993e+04,3.050e+02,1.479e+05
195.0,7.970e+04,8.537e+04,3.381e+02,1.654e+05
196.6,9.177e+04,9.147e+04,3.712e+02,1.836e+05
198.2,1.107e+05,9.907e+04,4.333e+02,2.102e+05
199.8,1.310e+05,1.039e+05,5.277e+02,2.355e+05
